portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,11218732,BTC-GBP,SELL,2020-11-27T14:09:03.891Z,0.03536371,BTC,12634,0.44678511214,446.33832702786,GBP
default,11218825,BTC-GBP,SELL,2020-11-27T14:15:06.228Z,0.03788031,BTC,12630,0.4784283153,477.9498869847,GBP
default,11218826,BTC-GBP,SELL,2020-11-27T14:15:06.545Z,0.03788031,BTC,12630,0.4784283153,477.9498869847,GBP
default,11218827,BTC-GBP,SELL,2020-11-27T14:15:06.988Z,0.03788031,BTC,12630,0.4784283153,477.9498869847,GBP
default,11218828,BTC-GBP,SELL,2020-11-27T14:15:07.208Z,0.01098546,BTC,12630,0.1387463598,138.6076134402,GBP
default,11218830,BTC-GBP,SELL,2020-11-27T14:15:15.949Z,0.03138847,BTC,12630,0.3964363761,396.0399397239,GBP
default,11218831,BTC-GBP,SELL,2020-11-27T14:15:22.116Z,0.00220671,BTC,12630,0.0278707473,27.8428765527,GBP
default,11218832,BTC-GBP,SELL,2020-11-27T14:15:23.186Z,0.00606076,BTC,12630,0.0765473988,76.4708514012,GBP
default,11218833,BTC-GBP,SELL,2020-11-27T14:15:27.946Z,0.02272801,BTC,12630,0.2870547663,286.7677115337,GBP
default,11218834,BTC-GBP,SELL,2020-11-27T14:15:28.590Z,0.06510869,BTC,12630,0.8223227547,821.5004319453,GBP
default,11218835,BTC-GBP,SELL,2020-11-27T14:15:28.845Z,1.10250000,BTC,12630,13.924575,13910.650425,GBP
default,11218836,BTC-GBP,SELL,2020-11-27T14:15:28.896Z,0.40538097,BTC,12630,5.1199616511,5114.8416894489,GBP
default,11220472,BTC-GBP,BUY,2020-11-27T15:49:34.490Z,0.90720269,BTC,12420,11.2674574098,-11278.7248672098,GBP
default,11220473,BTC-GBP,BUY,2020-11-27T15:49:34.537Z,0.89279000,BTC,12420,11.0884518,-11099.5402518,GBP
default,11220474,BTC-GBP,BUY,2020-11-27T15:49:43.210Z,0.00000731,BTC,12420,0.0000907902,-0.0908809902,GBP
default,11222096,BTC-GBP,SELL,2020-11-27T17:27:34.124Z,0.39725108,BTC,12643.54,10.0453198400464,5012.6146001831536,GBP
default,11222097,BTC-GBP,SELL,2020-11-27T17:27:37.100Z,0.03779316,BTC,12640,0.4777055424,477.2278368576,GBP
default,11222098,BTC-GBP,SELL,2020-11-27T17:27:44.149Z,0.00566865,BTC,12640,0.071651736,71.580084264,GBP
default,11222099,BTC-GBP,SELL,2020-11-27T17:28:18.794Z,0.00756974,BTC,12640,0.0956815136,95.5858320864,GBP
default,11222100,BTC-GBP,SELL,2020-11-27T17:28:18.910Z,0.00984004,BTC,12640,0.1243781056,124.2537274944,GBP
default,11222101,BTC-GBP,SELL,2020-11-27T17:28:23.676Z,0.00145711,BTC,12640,0.0184178704,18.3994525296,GBP
default,11222102,BTC-GBP,SELL,2020-11-27T17:28:31.426Z,0.06368081,BTC,12640,0.8049254384,804.1205129616,GBP
default,11222103,BTC-GBP,SELL,2020-11-27T17:28:33.746Z,0.07756471,BTC,12640,0.9804179344,979.4375164656,GBP
default,11222104,BTC-GBP,SELL,2020-11-27T17:28:35.907Z,0.00763666,BTC,12640,0.0965273824,96.4308550176,GBP
default,11222105,BTC-GBP,SELL,2020-11-27T17:28:38.033Z,0.00166407,BTC,12640,0.0210338448,21.0128109552,GBP
default,11222107,BTC-GBP,SELL,2020-11-27T17:28:50.669Z,0.02649490,BTC,12640,0.334895536,334.560640464,GBP
default,11222110,BTC-GBP,SELL,2020-11-27T17:28:54.614Z,0.00377936,BTC,12640,0.0477711104,47.7233392896,GBP
default,11222188,BTC-GBP,SELL,2020-11-27T17:35:57.198Z,0.00078845,BTC,12620,0.009950239,9.940288761,GBP
default,11222234,BTC-GBP,SELL,2020-11-27T17:39:20.733Z,0.13759141,BTC,12601.84,3.4678098683888,1730.4371243260112,GBP
default,11222235,BTC-GBP,SELL,2020-11-27T17:39:20.733Z,1.01040859,BTC,12601.83,25.4659945634394,12707.5312871562606,GBP
default,11223005,BTC-GBP,SELL,2020-11-27T18:34:56.317Z,0.01544755,BTC,12657,0.19551964035,195.32412070965,GBP
default,11233136,BTC-GBP,BUY,2020-11-28T15:38:13.899Z,0.00178573,BTC,13090,0.0233752057,-23.3985809057,GBP
default,11233140,BTC-GBP,BUY,2020-11-28T15:38:22.364Z,0.00383890,BTC,13090,0.050251201,-50.301452201,GBP
default,11233418,BTC-GBP,BUY,2020-11-28T15:53:29.434Z,0.94845039,BTC,13150,12.4721226285,-12484.5947511285,GBP
default,11233426,BTC-GBP,BUY,2020-11-28T15:53:46.109Z,0.00727237,BTC,13150,0.0956316655,-95.7272971655,GBP
default,11233431,BTC-GBP,BUY,2020-11-28T15:54:13.932Z,1.03427724,BTC,13150,13.600745706,-13614.346451706,GBP
default,11235919,BTC-GBP,SELL,2020-11-28T17:54:30.428Z,0.14467837,BTC,13346,1.93087752602,1928.94664849398,GBP
default,11235920,BTC-GBP,SELL,2020-11-28T17:54:30.892Z,0.13000000,BTC,13346,1.73498,1733.24502,GBP
default,11235921,BTC-GBP,SELL,2020-11-28T17:54:30.938Z,0.19000000,BTC,13346,2.53574,2533.20426,GBP
default,11235922,BTC-GBP,SELL,2020-11-28T17:54:31.007Z,0.25000000,BTC,13346,3.3365,3333.1635,GBP
default,11235923,BTC-GBP,SELL,2020-11-28T17:54:32.290Z,0.07000000,BTC,13346,0.93422,933.28578,GBP
default,11235924,BTC-GBP,SELL,2020-11-28T17:54:32.970Z,0.01096049,BTC,13346,0.14627869954,146.13242084046,GBP
default,11235926,BTC-GBP,SELL,2020-11-28T17:54:38.764Z,0.00208832,BTC,13346,0.02787071872,27.84284800128,GBP
default,11235928,BTC-GBP,SELL,2020-11-28T17:54:41.708Z,0.13000000,BTC,13346,1.73498,1733.24502,GBP
default,11235929,BTC-GBP,SELL,2020-11-28T17:54:41.722Z,0.16000000,BTC,13346,2.13536,2133.22464,GBP
default,11235930,BTC-GBP,SELL,2020-11-28T17:54:41.796Z,0.03728175,BTC,13346,0.4975622355,497.0646732645,GBP
default,11235931,BTC-GBP,SELL,2020-11-28T17:54:41.815Z,0.51404000,BTC,13346,6.86037784,6853.51746216,GBP
default,11235932,BTC-GBP,SELL,2020-11-28T17:54:41.989Z,0.35655107,BTC,13346,4.75853058022,4753.77204963978,GBP
default,11237204,BTC-GBP,BUY,2020-11-28T19:41:29.764Z,0.71955000,BTC,13400,9.64197,-9651.61197,GBP
default,11237205,BTC-GBP,BUY,2020-11-28T19:41:29.794Z,0.40000000,BTC,13400,5.36,-5365.36,GBP
default,11237206,BTC-GBP,BUY,2020-11-28T19:41:29.802Z,0.60000000,BTC,13400,8.04,-8048.04,GBP
default,11237207,BTC-GBP,BUY,2020-11-28T19:41:29.810Z,0.24045000,BTC,13400,3.22203,-3225.25203,GBP
default,11237232,BTC-GBP,BUY,2020-11-28T19:42:55.278Z,0.00134770,BTC,13415,0.0180793955,-18.0974748955,GBP
default,11237233,BTC-GBP,BUY,2020-11-28T19:42:58.795Z,0.00299682,BTC,13415,0.0402023403,-40.2425426403,GBP
default,11237234,BTC-GBP,BUY,2020-11-28T19:43:04.397Z,0.02565000,BTC,13415,0.34409475,-344.43884475,GBP
default,11237235,BTC-GBP,BUY,2020-11-28T19:43:08.136Z,0.00000548,BTC,13415,0.0000735142,-0.0735877142,GBP
